"","GEOID","pop_5_and_under"
"1005","03906",360
"1006","03907",16
"1007","03908",497
"1008","03909",691
"1009","03910",0
"1010","03911",0
"1011","04001",99
"1012","04002",534
"1013","04003",0
"1014","04005",1218
"1015","04006",0
"1016","04008",289
"1017","04009",118
"1018","04010",218
"1019","04011",1463
"1020","04015",200
"1021","04017",13
"1022","04019",0
"1023","04020",90
"1024","04021",758
"1025","04022",66
"1026","04024",3
"1027","04027",172
"1028","04029",163
"1029","04030",115
"1030","04032",711
"1031","04037",189
"1032","04038",1110
"1033","04039",477
"1034","04040",142
"1035","04041",119
"1036","04042",245
"1037","04043",475
"1038","04046",415
"1039","04047",108
"1040","04048",211
"1041","04049",234
"1042","04050",14
"1043","04051",28
"1044","04055",281
"1045","04056",4
"1046","04057",0
"1047","04061",354
"1048","04062",1068
"1049","04063",0
"1050","04064",220
"1051","04066",0
"1052","04068",101
"1053","04069",126
"1054","04071",294
"1055","04072",1081
"1056","04073",1101
"1057","04074",1032
"1058","04076",177
"1059","04079",218
"1060","04083",433
"1061","04084",521
"1062","04085",32
"1063","04086",520
"1064","04087",175
"1065","04088",18
"1066","04090",810
"1067","04091",23
"1068","04092",1102
"1069","04093",298
"1070","04095",64
"1071","04096",383
"1072","04097",251
"1073","04101",671
"1074","04102",1089
"1075","04103",2198
"1076","04105",883
"1077","04106",1007
"1078","04107",430
"1079","04108",17
"1080","04109",4
"1081","04110",86
"1082","04210",1572
"1083","04216",34
"1084","04217",219
"1085","04219",59
"1086","04220",207
"1087","04221",39
"1088","04222",194
"1089","04224",78
"1090","04226",0
"1091","04227",0
"1092","04231",6
"1093","04234",0
"1094","04236",438
"1095","04237",24
"1096","04238",44
"1097","04239",137
"1098","04240",2462
"1099","04250",507
"1100","04252",366
"1101","04253",114
"1102","04254",232
"1103","04255",18
"1104","04256",160
"1105","04257",73
"1106","04258",121
"1107","04259",170
"1108","04260",246
"1109","04261",13
"1110","04263",247
"1111","04265",17
"1112","04267",2
"1113","04268",188
"1114","04270",420
"1115","04271",0
"1116","04274",740
"1117","04275",0
"1118","04276",142
"1119","04280",334
"1120","04281",347
"1121","04282",267
"1122","04284",35
"1123","04285",10
"1124","04286",0
"1125","04287",176
"1126","04289",168
"1127","04290",57
"1128","04292",75
"1129","04294",288
"1130","04330",1780
"1131","04341",0
"1132","04342",120
"1133","04344",236
"1134","04345",608
"1135","04346",111
"1136","04347",92
"1137","04348",273
"1138","04349",66
"1139","04350",115
"1140","04351",174
"1141","04352",78
"1142","04353",209
"1143","04354",65
"1144","04355",131
"1145","04357",310
"1146","04358",379
"1147","04359",0
"1148","04360",64
"1149","04363",81
"1150","04364",326
"1151","04401",2651
"1152","04406",24
"1153","04408",3
"1154","04410",2
"1155","04411",58
"1156","04412",726
"1157","04413",4
"1158","04414",33
"1159","04415",28
"1160","04416",629
"1161","04417",5
"1162","04418",93
"1163","04419",201
"1164","04421",8
"1165","04422",54
"1166","04424",48
"1167","04426",346
"1168","04427",272
"1169","04428",223
"1170","04429",175
"1171","04430",50
"1172","04431",0
"1173","04434",34
"1174","04435",26
"1175","04438",92
"1176","04441",52
"1177","04442",0
"1178","04443",111
"1179","04444",649
"1180","04448",97
"1181","04449",47
"1182","04450",34
"1183","04451",15
"1184","04453",85
"1185","04454",0
"1186","04455",48
"1187","04456",257
"1188","04457",344
"1189","04459",34
"1190","04460",48
"1191","04461",275
"1192","04462",308
"1193","04463",72
"1194","04464",51
"1195","04468",552
"1196","04469",0
"1197","04471",10
"1198","04472",91
"1199","04473",225
"1200","04474",224
"1201","04475",41
"1202","04476",18
"1203","04478",0
"1204","04479",71
"1205","04481",41
"1206","04485",11
"1207","04487",13
"1208","04488",89
"1209","04489",58
"1210","04490",12
"1211","04491",2
"1212","04492",0
"1213","04493",83
"1214","04495",4
"1215","04496",340
"1216","04497",6
"1217","04530",617
"1218","04535",31
"1219","04537",92
"1220","04538",16
"1221","04539",54
"1222","04541",0
"1223","04543",137
"1224","04544",83
"1225","04547",58
"1226","04548",15
"1227","04551",39
"1228","04553",55
"1229","04554",20
"1230","04555",74
"1231","04556",26
"1232","04558",0
"1233","04562",36
"1234","04563",52
"1235","04564",45
"1236","04568",15
"1237","04570",0
"1238","04571",31
"1239","04572",268
"1240","04573",8
"1241","04574",110
"1242","04575",32
"1243","04576",3
"1244","04578",227
"1245","04579",108
"1246","04605",647
"1247","04606",8
"1248","04607",55
"1249","04609",212
"1250","04611",19
"1251","04612",33
"1252","04613",0
"1253","04614",70
"1254","04616",10
"1255","04617",22
"1256","04619",224
"1257","04622",19
"1258","04623",82
"1259","04624",0
"1260","04625",0
"1261","04626",71
"1262","04627",66
"1263","04628",38
"1264","04630",106
"1265","04631",46
"1266","04634",68
"1267","04635",2
"1268","04640",140
"1269","04642",4
"1270","04643",84
"1271","04645",0
"1272","04646",0
"1273","04648",56
"1274","04649",61
"1275","04650",44
"1276","04652",59
"1277","04653",30
"1278","04654",155
"1279","04655",114
"1280","04657",20
"1281","04658",67
"1282","04660",39
"1283","04662",0
"1284","04664",134
"1285","04666",82
"1286","04667",75
"1287","04668",187
"1288","04669",0
"1289","04671",19
"1290","04673",0
"1291","04674",11
"1292","04675",11
"1293","04676",37
"1294","04677",9
"1295","04679",115
"1296","04680",142
"1297","04681",71
"1298","04683",0
"1299","04684",104
"1300","04685",10
"1301","04686",3
"1302","04691",27
"1303","04693",33
"1304","04694",103
"1305","04730",490
"1306","04732",78
"1307","04733",14
"1308","04734",55
"1309","04735",25
"1310","04736",553
"1311","04737",0
"1312","04739",49
"1313","04740",70
"1314","04742",278
"1315","04743",271
"1316","04745",42
"1317","04746",22
"1318","04747",53
"1319","04750",168
"1320","04756",151
"1321","04757",168
"1322","04758",160
"1323","04760",8
"1324","04761",49
"1325","04762",23
"1326","04763",33
"1327","04764",0
"1328","04765",63
"1329","04766",20
"1330","04768",0
"1331","04769",559
"1332","04772",31
"1333","04773",11
"1334","04774",41
"1335","04776",90
"1336","04777",61
"1337","04779",3
"1338","04780",81
"1339","04781",30
"1340","04783",14
"1341","04785",98
"1342","04786",93
"1343","04787",14
"1344","04841",390
"1345","04843",204
"1346","04847",127
"1347","04848",24
"1348","04849",88
"1349","04851",0
"1350","04852",20
"1351","04853",38
"1352","04854",53
"1353","04855",0
"1354","04856",159
"1355","04858",67
"1356","04859",38
"1357","04860",13
"1358","04861",92
"1359","04862",383
"1360","04863",34
"1361","04864",126
"1362","04901",1550
"1363","04910",124
"1364","04911",153
"1365","04912",79
"1366","04915",347
"1367","04917",301
"1368","04918",0
"1369","04920",88
"1370","04921",109
"1371","04922",56
"1372","04923",11
"1373","04924",249
"1374","04925",0
"1375","04926",0
"1376","04927",97
"1377","04928",87
"1378","04929",26
"1379","04930",176
"1380","04932",47
"1381","04936",0
"1382","04937",213
"1383","04938",686
"1384","04939",29
"1385","04940",0
"1386","04941",69
"1387","04942",34
"1388","04943",115
"1389","04944",0
"1390","04945",42
"1391","04947",35
"1392","04949",40
"1393","04950",128
"1394","04951",34
"1395","04952",114
"1396","04953",182
"1397","04955",96
"1398","04956",48
"1399","04957",358
"1400","04958",105
"1401","04961",63
"1402","04963",410
"1403","04964",0
"1404","04965",177
"1405","04966",108
"1406","04967",297
"1407","04969",61
"1408","04970",59
"1409","04971",160
"1410","04973",28
"1411","04974",110
"1412","04975",0
"1413","04976",676
"1414","04978",27
"1415","04979",21
"1416","04981",54
"1417","04982",42
"1418","04983",66
"1419","04984",46
"1420","04985",9
"1421","04986",306
"1422","04987",56
"1423","04988",175
"1424","04989",235
"1425","04992",0
"1426","05001",502
"1427","05009",0
"1428","05030",0
"1429","05031",0
"1430","05032",224
"1431","05033",249
"1432","05034",0
"1433","05035",25
"1434","05036",52
"1435","05037",59
"1436","05038",50
"1437","05039",80
"1438","05040",36
"1439","05041",44
"1440","05042",31
"1441","05043",13
"1442","05045",59
"1443","05046",38
"1444","05048",171
"1445","05050",24
"1446","05051",176
"1447","05052",11
"1448","05053",29
"1449","05055",250
"1450","05056",14
"1451","05058",16
"1452","05059",16
"1453","05060",220
"1454","05061",111
"1455","05062",24
"1456","05065",41
"1457","05067",18
"1458","05068",287
"1459","05069",26
"1460","05070",3
"1461","05071",0
"1462","05072",30
"1463","05073",0
"1464","05075",70
"1465","05076",25
"1466","05077",43
"1467","05079",34
"1468","05081",15
"1469","05083",12
"1470","05084",0
"1471","05086",26
"1472","05088",0
"1473","05089",267
"1474","05091",183
"1475","05101",230
"1476","05141",22
"1477","05142",42
"1478","05143",155
"1479","05146",6
"1480","05148",32
"1481","05149",126
"1482","05150",0
"1483","05151",59
"1484","05152",0
"1485","05153",59
"1486","05154",92
"1487","05155",8
"1488","05156",281
"1489","05158",25
"1490","05161",56
"1491","05201",722
"1492","05250",213
"1493","05251",49
"1494","05252",48
"1495","05253",53
"1496","05254",10
"1497","05255",376
"1498","05257",141
"1499","05260",6
"1500","05261",133
"1501","05262",154
"1502","05301",1146
"1503","05340",28
"1504","05341",69
"1505","05342",23
"1506","05343",25
"1507","05344",0
"1508","05345",113
"1509","05346",105
"1510","05350",32
"1511","05351",27
"1512","05352",55
"1513","05353",29
"1514","05354",151
"1515","05355",15
"1516","05356",17
"1517","05358",38
"1518","05359",29
"1519","05360",17
"1520","05361",101
"1521","05362",4
"1522","05363",135
"1523","05401",1450
"1524","05403",1075
"1525","05404",510
"1526","05405",0
"1527","05408",562
"1528","05439",0
"1529","05440",64
"1530","05441",39
"1531","05442",14
"1532","05443",308
"1533","05444",156
"1534","05445",197
"1535","05446",910
"1536","05447",9
"1537","05448",36
"1538","05450",402
"1539","05452",1443
"1540","05454",372
"1541","05455",76
"1542","05456",59
"1543","05457",130
"1544","05458",95
"1545","05459",106
"1546","05461",233
"1547","05462",84
"1548","05463",37
"1549","05464",214
"1550","05465",410
"1551","05468",705
"1552","05471",52
"1553","05472",109
"1554","05473",67
"1555","05474",107
"1556","05476",219
"1557","05477",282
"1558","05478",1079
"1559","05481",0
"1560","05482",395
"1561","05483",125
"1562","05485",0
"1563","05486",125
"1564","05487",58
"1565","05488",684
"1566","05489",296
"1567","05491",351
"1568","05492",14
"1569","05494",103
"1570","05495",639
"1571","05602",623
"1572","05640",0
"1573","05641",717
"1574","05647",32
"1575","05648",17
"1576","05649",10
"1577","05650",15
"1578","05651",163
"1579","05652",59
"1580","05653",16
"1581","05654",45
"1582","05655",133
"1583","05656",297
"1584","05658",80
"1585","05660",65
"1586","05661",233
"1587","05663",357
"1588","05664",0
"1589","05666",0
"1590","05667",72
"1591","05669",95
"1592","05670",0
"1593","05672",310
"1594","05673",132
"1595","05674",72
"1596","05675",57
"1597","05676",318
"1598","05677",217
"1599","05678",15
"1600","05679",98
"1601","05680",154
"1602","05681",10
"1603","05682",69
"1604","05701",992
"1605","05730",9
"1606","05731",0
"1607","05732",32
"1608","05733",293
"1609","05734",109
"1610","05735",176
"1611","05736",11
"1612","05737",55
"1613","05738",105
"1614","05739",58
"1615","05742",26
"1616","05743",264
"1617","05744",11
"1618","05746",0
"1619","05747",23
"1620","05748",37
"1621","05751",26
"1622","05753",335
"1623","05757",54
"1624","05758",22
