"","...1","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"350",2667,"64854","2019","November",3,2,94,546
"351",2675,"64856","2019","November",2,2,20,338
"352",2678,"64861","2019","November",1,NA,19,98
"353",2685,"64862","2019","November",4,3,94,237
"354",2693,"64863","2019","November",1,NA,4,143
"355",2697,"64865","2019","November",5,3,50,630
"356",2705,"64870","2019","November",11,3,424,1581
"357",2713,"64874","2019","November",1,NA,20,67
"358",2714,"65010","2019","November",12,NA,334,467
"359",2722,"65013","2019","November",3,1,55,182
"360",2732,"65016","2019","November",1,NA,10,81
"361",2740,"65018","2019","November",17,6,399,493
"362",2748,"65020","2019","November",12,5,480,906
"363",2756,"65024","2019","November",1,1,15,36
"364",2762,"65026","2019","November",9,2,225,806
"365",2770,"65035","2019","November",1,1,10,143
"366",2778,"65037","2019","November",1,NA,70,127
"367",2793,"65041","2019","November",5,NA,88,315
"368",2801,"65043","2019","November",9,2,292,876
"369",2814,"65049","2019","November",5,NA,199,382
"370",2822,"65051","2019","November",10,3,193,244
"371",2830,"65052","2019","November",2,NA,87,105
"372",2838,"65054","2019","November",3,NA,150,41
"373",2846,"65059","2019","November",1,NA,20,55
"374",2853,"65063","2019","November",4,1,91,226
"375",2861,"65065","2019","November",8,3,466,371
"376",2869,"65066","2019","November",4,1,100,348
"377",2877,"65074","2019","November",2,NA,30,194
"378",2885,"65075","2019","November",4,NA,30,82
"379",2893,"65076","2019","November",3,1,40,54
"380",2901,"65078","2019","November",1,NA,14,231
"381",2909,"65081","2019","November",2,NA,97,148
"382",2917,"65082","2019","November",2,1,34,108
"383",2925,"65084","2019","November",1,NA,88,874
"384",2932,"65085","2019","November",2,NA,68,156
"385",2940,"65101","2019","November",34,5,1806,2384
"386",2948,"65109","2019","November",34,NA,1746,2721
"387",2956,"65201","2019","November",37,5,1722,1985
"388",2964,"65202","2019","November",49,7,1317,4024
"389",2972,"65203","2019","November",69,NA,3120,4577
"390",2980,"65231","2019","November",3,NA,30,149
"391",2988,"65233","2019","November",11,4,320,889
"392",2996,"65236","2019","November",3,1,72,89
"393",3004,"65239","2019","November",1,1,10,63
"394",3010,"65240","2019","November",10,2,201,960
"395",3018,"65248","2019","November",9,1,106,316
"396",3026,"65251","2019","November",12,1,410,1198
"397",3034,"65254","2019","November",3,NA,62,195
"398",3042,"65255","2019","November",8,1,169,482
"399",3050,"65256","2019","November",3,1,90,111
"400",3058,"65257","2019","November",1,NA,50,160
"401",3059,"65259","2019","November",2,1,30,180
"402",3067,"65261","2019","November",2,NA,20,161
"403",3075,"65262","2019","November",1,NA,63,178
"404",3082,"65265","2019","November",15,3,277,1142
"405",3090,"65270","2019","November",11,4,427,1311
"406",3098,"65275","2019","November",4,1,106,102
"407",3106,"65281","2019","November",5,2,78,195
"408",3114,"65284","2019","November",1,NA,43,95
"409",3122,"65301","2019","November",26,4,1265,2912
"410",3130,"65323","2019","November",2,1,135,59
"411",3136,"65325","2019","November",3,NA,135,131
"412",3144,"65327","2019","November",1,NA,10,10
"413",3151,"65332","2019","November",1,NA,60,87
"414",3158,"65336","2019","November",7,NA,253,540
"415",3166,"65337","2019","November",1,NA,100,226
"416",3173,"65338","2019","November",2,NA,60,189
"417",3181,"65339","2019","November",1,NA,20,12
"418",3182,"65340","2019","November",10,2,234,1033
"419",3190,"65348","2019","November",1,NA,20,117
"420",3191,"65349","2019","November",1,NA,20,275
"421",3192,"65350","2019","November",1,NA,99,142
"422",3199,"65351","2019","November",1,NA,21,129
"423",3200,"65355","2019","November",3,1,131,613
"424",3208,"65360","2019","November",2,1,48,419
"425",3216,"65401","2019","November",17,10,775,1921
"426",3224,"65441","2019","November",2,NA,30,616
"427",3232,"65452","2019","November",1,NA,40,159
"428",3240,"65453","2019","November",5,1,265,427
"429",3248,"65459","2019","November",3,NA,40,433
"430",3256,"65483","2019","November",5,2,159,192
"431",3264,"65486","2019","November",4,NA,60,224
"432",3272,"65536","2019","November",17,7,627,2622
"433",3280,"65542","2019","November",4,NA,100,425
"434",3288,"65548","2019","November",2,1,60,413
"435",3296,"65556","2019","November",1,NA,26,417
"436",3304,"65559","2019","November",5,1,123,801
"437",3312,"65560","2019","November",5,2,276,959
"438",3320,"65565","2019","November",4,2,94,291
"439",3328,"65567","2019","November",1,NA,40,115
"440",3335,"65570","2019","November",1,NA,20,21
"441",3342,"65571","2019","November",2,NA,68,23
"442",3349,"65582","2019","November",2,1,20,148
"443",3357,"65583","2019","November",9,4,599,1191
"444",3365,"65584","2019","November",4,1,189,924
"445",3373,"65588","2019","November",2,NA,128,74
"446",3381,"65604","2019","November",1,1,64,253
"447",3382,"65605","2019","November",8,2,200,878
"448",3390,"65606","2019","November",3,2,80,112
"449",3398,"65608","2019","November",5,NA,170,664
"450",3406,"65609","2019","November",1,NA,19,42
"451",3413,"65610","2019","November",1,NA,10,293
"452",3415,"65611","2019","November",1,NA,30,114
"453",3421,"65612","2019","November",1,1,32,102
"454",3422,"65613","2019","November",11,7,407,1216
"455",3430,"65614","2019","November",1,NA,19,58
"456",3434,"65616","2019","November",13,9,581,2061
"457",3442,"65617","2019","November",2,2,94,28
"458",3450,"65619","2019","November",2,1,142,709
"459",3458,"65622","2019","November",7,2,248,482
"460",3466,"65625","2019","November",5,2,114,789
"461",3474,"65629","2019","November",1,NA,40,59
"462",3481,"65631","2019","November",4,4,148,575
"463",3489,"65632","2019","November",1,NA,10,311
"464",3497,"65633","2019","November",2,1,30,383
"465",3505,"65646","2019","November",1,NA,20,54
"466",3514,"65648","2019","November",2,NA,30,389
"467",3522,"65652","2019","November",1,NA,40,285
"468",3524,"65653","2019","November",5,1,60,221
"469",3532,"65655","2019","November",3,NA,60,39
"470",3540,"65661","2019","November",1,NA,15,207
"471",3547,"65662","2019","November",1,NA,20,60
"472",3555,"65667","2019","November",1,NA,30,275
"473",3559,"65668","2019","November",2,NA,86,38
"474",3567,"65672","2019","November",1,1,28,599
"475",3575,"65679","2019","November",1,NA,10,167
"476",3578,"65680","2019","November",1,NA,40,20
"477",3585,"65681","2019","November",1,NA,10,61
"478",3590,"65686","2019","November",1,NA,30,110
"479",3598,"65689","2019","November",2,1,74,471
"480",3606,"65704","2019","November",4,1,120,265
"481",3614,"65705","2019","November",1,NA,10,298
"482",3616,"65706","2019","November",7,4,409,1408
"483",3624,"65708","2019","November",8,1,344,1041
"484",3632,"65711","2019","November",7,1,170,708
"485",3640,"65712","2019","November",5,1,240,695
"486",3648,"65713","2019","November",1,NA,40,221
"487",3656,"65714","2019","November",22,13,1183,2840
"488",3664,"65721","2019","November",14,10,1094,2511
"489",3672,"65723","2019","November",2,1,10,165
"490",3680,"65725","2019","November",1,1,10,149
"491",3688,"65732","2019","November",1,1,20,159
"492",3692,"65737","2019","November",3,1,120,285
"493",3700,"65738","2019","November",19,16,1025,1959
"494",3708,"65742","2019","November",2,1,69,948
"495",3715,"65746","2019","November",4,1,123,978
"496",3723,"65747","2019","November",1,NA,20,35
"497",3727,"65753","2019","November",1,1,57,319
"498",3735,"65757","2019","November",3,3,185,645
"499",3743,"65759","2019","November",1,1,10,116
"500",3753,"65769","2019","November",1,1,9,216
"501",3756,"65775","2019","November",11,3,530,1732
"502",3764,"65781","2019","November",3,1,78,707
"503",3772,"65785","2019","November",3,1,49,395
"504",3780,"65786","2019","November",1,NA,20,239
"505",3782,"65791","2019","November",2,1,65,454
"506",3790,"65793","2019","November",4,2,80,248
"507",3798,"65802","2019","November",22,NA,1230,3302
"508",3806,"65803","2019","November",17,11,847,3400
"509",3814,"65804","2019","November",30,17,2216,2317
"510",3822,"65806","2019","November",9,6,494,358
"511",3830,"65807","2019","November",43,27,2704,3964
"512",3842,"65810","2019","November",7,3,449,1162
"513",NA,"63014","2019","November",NA,NA,NA,14
"514",NA,"63015","2019","November",NA,NA,NA,82
"515",NA,"63030","2019","November",NA,NA,NA,22
"516",NA,"63036","2019","November",NA,NA,NA,73
"517",NA,"63041","2019","November",NA,NA,NA,17
"518",NA,"63048","2019","November",NA,NA,NA,318
"519",NA,"63053","2019","November",NA,NA,NA,7
"520",NA,"63056","2019","November",NA,NA,NA,172
"521",NA,"63057","2019","November",NA,NA,NA,NA
"522",NA,"63060","2019","November",NA,NA,NA,71
"523",NA,"63061","2019","November",NA,NA,NA,0
"524",NA,"63071","2019","November",NA,NA,NA,61
"525",NA,"63073","2019","November",NA,NA,NA,129
"526",NA,"63079","2019","November",NA,NA,NA,18
"527",NA,"63087","2019","November",NA,NA,NA,37
"528",NA,"63089","2019","November",NA,NA,NA,552
"529",NA,"63091","2019","November",NA,NA,NA,145
"530",NA,"63101","2019","November",NA,NA,NA,245
