"","id","zip","amount","type","year"
"300","P728-344","65101",62400,"arpa_paycheck_3","2022"
"301","E492-325","63115",16640,"arpa_paycheck_3","2022"
"302","E331-935","65043",33280,"arpa_paycheck_3","2022"
"303","P121-763","65262",41600,"arpa_paycheck_3","2022"
"304","E329-863","65714",20800,"arpa_paycheck_3","2022"
"305","P422-808","65617",29120,"arpa_paycheck_3","2022"
"306","E237-899","65606",33280,"arpa_paycheck_3","2022"
"307","E658-961","64138",4160,"arpa_paycheck_3","2022"
"308","P146-935","64015",104000,"arpa_paycheck_3","2022"
"309","P936-764","64081",104000,"arpa_paycheck_3","2022"
"310","E172-456","63106",104000,"arpa_paycheck_3","2022"
"311","E622-304","64037",33280,"arpa_paycheck_3","2022"
"312","P467-982","63640",45760,"arpa_paycheck_3","2022"
"313","E822-644","63121",54080,"arpa_paycheck_3","2022"
"314","E696-683","63376",62400,"arpa_paycheck_3","2022"
"315","E754-129","64132",33280,"arpa_paycheck_3","2022"
"316","E134-812","64131",62400,"arpa_paycheck_3","2022"
"317","E105-178","63011",33280,"arpa_paycheck_3","2022"
"318","E228-386","63368",33280,"arpa_paycheck_3","2022"
"319","E628-316","64130",49920,"arpa_paycheck_3","2022"
"320","E198-350","63366",49920,"arpa_paycheck_3","2022"
"321","E843-251","65714",4160,"arpa_paycheck_3","2022"
"322","P655-795","63138",16640,"arpa_paycheck_3","2022"
"323","E889-198","64030",4160,"arpa_paycheck_3","2022"
"324","E323-371","63051",33280,"arpa_paycheck_3","2022"
"325","E785-253","65203",8320,"arpa_paycheck_3","2022"
"326","E900-526","64131",41600,"arpa_paycheck_3","2022"
"327","E255-921","63857",33280,"arpa_paycheck_3","2022"
"328","E167-672","64131",33280,"arpa_paycheck_3","2022"
"329","E657-708","64134",12480,"arpa_paycheck_3","2022"
"330","P762-148","63111",4160,"arpa_paycheck_3","2022"
"331","P932-526","63801",4160,"arpa_paycheck_3","2022"
"332","E952-194","63025",4160,"arpa_paycheck_3","2022"
"333","P257-289","64134",8320,"arpa_paycheck_3","2022"
"334","P659-640","65617",33280,"arpa_paycheck_3","2022"
"335","E340-428","63136",8320,"arpa_paycheck_3","2022"
"336","P166-464","64138",4160,"arpa_paycheck_3","2022"
"337","E211-350","63135",62400,"arpa_paycheck_3","2022"
"338","E358-755","63031",4160,"arpa_paycheck_3","2022"
"339","E218-200","63115",29120,"arpa_paycheck_3","2022"
"340","E366-475","63376",62400,"arpa_paycheck_3","2022"
"341","E193-765","63469",16640,"arpa_paycheck_3","2022"
"342","P372-917","64132",8320,"arpa_paycheck_3","2022"
"343","E857-548","64644",4160,"arpa_paycheck_3","2022"
"344","E362-950","65202",58240,"arpa_paycheck_3","2022"
"345","E211-451","65802",33280,"arpa_paycheck_3","2022"
"346","P100-403","63026",62400,"arpa_paycheck_3","2022"
"347","E193-330","65043",62400,"arpa_paycheck_3","2022"
"348","E201-950","63901",62400,"arpa_paycheck_3","2022"
"349","E716-540","64130",37440,"arpa_paycheck_3","2022"
"350","E606-451","65804",4160,"arpa_paycheck_3","2022"
"351","E309-484","64633",24960,"arpa_paycheck_3","2022"
"352","P366-103","63033",37440,"arpa_paycheck_3","2022"
"353","P212-727","63134",62400,"arpa_paycheck_3","2022"
"354","E820-287","65018",33280,"arpa_paycheck_3","2022"
"355","P306-505","64134",62400,"arpa_paycheck_3","2022"
"356","E853-373","64014",70720,"arpa_paycheck_3","2022"
"357","E786-691","63901",8320,"arpa_paycheck_3","2022"
"358","E850-171","63130",83200,"arpa_paycheck_3","2022"
"359","P888-200","64015",104000,"arpa_paycheck_3","2022"
"360","E417-395","65201",12480,"arpa_paycheck_3","2022"
"361","E632-769","63118",33280,"arpa_paycheck_3","2022"
"362","E706-531","63138",4160,"arpa_paycheck_3","2022"
"363","P677-365","64157",83200,"arpa_paycheck_3","2022"
"364","E799-931","63108",4160,"arpa_paycheck_3","2022"
"365","P221-250","63031",41600,"arpa_paycheck_3","2022"
"366","P698-768","63701",4160,"arpa_paycheck_3","2022"
"367","P490-655","64152",83200,"arpa_paycheck_3","2022"
"368","P697-416","65109",33280,"arpa_paycheck_3","2022"
"369","E551-190","64114",24960,"arpa_paycheck_3","2022"
"370","P343-634","63801",4160,"arpa_paycheck_3","2022"
"371","E495-263","65043",33280,"arpa_paycheck_3","2022"
"372","E254-935","64114",83200,"arpa_paycheck_3","2022"
"373","E255-738","63033",37440,"arpa_paycheck_3","2022"
"374","E900-276","63119",62400,"arpa_paycheck_3","2022"
"375","E385-962","63147",16640,"arpa_paycheck_3","2022"
"376","E177-615","63366",62400,"arpa_paycheck_3","2022"
"377","P913-302","64024",83200,"arpa_paycheck_3","2022"
"378","P710-586","64060",104000,"arpa_paycheck_3","2022"
"379","P143-351","64079",83200,"arpa_paycheck_3","2022"
"380","E358-521","63116",4160,"arpa_paycheck_3","2022"
"381","E766-678","65010",33280,"arpa_paycheck_3","2022"
"382","E792-369","63133",54080,"arpa_paycheck_3","2022"
"383","E370-998","63138",58240,"arpa_paycheck_3","2022"
"384","E888-436","64109",16640,"arpa_paycheck_3","2022"
"385","E634-710","63136",16640,"arpa_paycheck_3","2022"
"386","P937-200","63701",8320,"arpa_paycheck_3","2022"
"387","E802-669","63138",33280,"arpa_paycheck_3","2022"
"388","E751-420","65804",62400,"arpa_paycheck_3","2022"
"389","P803-998","63121",45760,"arpa_paycheck_3","2022"
"390","P404-803","63801",4160,"arpa_paycheck_3","2022"
"391","E666-728","63138",8320,"arpa_paycheck_3","2022"
"392","P314-554","63115",8320,"arpa_paycheck_3","2022"
"393","E837-476","63034",24960,"arpa_paycheck_3","2022"
"394","E891-663","63385",83200,"arpa_paycheck_3","2022"
"395","P356-741","64801",33280,"arpa_paycheck_3","2022"
"396","P285-795","63025",104000,"arpa_paycheck_3","2022"
"397","P947-747","63052",74880,"arpa_paycheck_3","2022"
"398","E223-369","63115",16640,"arpa_paycheck_3","2022"
"399","E624-504","65648",4160,"arpa_paycheck_3","2022"
"400","P794-797","64155",104000,"arpa_paycheck_3","2022"
"401","E421-599","65634",4160,"arpa_paycheck_3","2022"
"402","E216-521","64068",83200,"arpa_paycheck_3","2022"
"403","E341-672","65203",12480,"arpa_paycheck_3","2022"
"404","P663-688","64804",33280,"arpa_paycheck_3","2022"
"405","E435-170","63116",12480,"arpa_paycheck_3","2022"
"406","P291-194","65101",62400,"arpa_paycheck_3","2022"
"407","E712-902","63033",4160,"arpa_paycheck_3","2022"
"408","E233-783","63134",29120,"arpa_paycheck_3","2022"
"409","E389-770","65063",8320,"arpa_paycheck_3","2022"
"410","E324-252","63401",4160,"arpa_paycheck_3","2022"
"411","E560-438","63601",16640,"arpa_paycheck_3","2022"
"412","E605-913","65101",62400,"arpa_paycheck_3","2022"
"413","E753-489","63111",4160,"arpa_paycheck_3","2022"
"414","E926-731","65248",4160,"arpa_paycheck_3","2022"
"415","E578-142","63033",4160,"arpa_paycheck_3","2022"
"416","P973-947","63136",66560,"arpa_paycheck_3","2022"
"417","E911-102","65605",8320,"arpa_paycheck_3","2022"
"418","E145-648","63113",24960,"arpa_paycheck_3","2022"
"419","E818-653","63031",4160,"arpa_paycheck_3","2022"
"420","P426-723","64844",33280,"arpa_paycheck_3","2022"
"421","E481-747","63944",20800,"arpa_paycheck_3","2022"
"422","P985-906","63390",4160,"arpa_paycheck_3","2022"
"423","P439-460","65203",33280,"arpa_paycheck_3","2022"
"424","E782-384","64489",8320,"arpa_paycheck_3","2022"
"425","E817-575","63016",33280,"arpa_paycheck_3","2022"
"426","E952-827","63112",29120,"arpa_paycheck_3","2022"
"427","E959-458","63136",8320,"arpa_paycheck_3","2022"
"428","E746-955","63129",83200,"arpa_paycheck_3","2022"
"429","E270-721","63120",33280,"arpa_paycheck_3","2022"
"430","E663-336","64133",62400,"arpa_paycheck_3","2022"
"431","P618-207","64128",16640,"arpa_paycheck_3","2022"
"432","E883-388","63376",62400,"arpa_paycheck_3","2022"
"433","E242-329","63901",33280,"arpa_paycheck_3","2022"
"434","P789-495","64132",41600,"arpa_paycheck_3","2022"
"435","P348-659","63775",33280,"arpa_paycheck_3","2022"
"436","E293-222","63118",62400,"arpa_paycheck_3","2022"
"437","E330-742","64083",8320,"arpa_paycheck_3","2022"
"438","E451-907","63049",62400,"arpa_paycheck_3","2022"
"439","E899-558","63851",4160,"arpa_paycheck_3","2022"
"440","E600-209","64055",8320,"arpa_paycheck_3","2022"
"441","E720-253","63113",62400,"arpa_paycheck_3","2022"
"442","E278-834","63116",83200,"arpa_paycheck_3","2022"
"443","E441-719","63031",33280,"arpa_paycheck_3","2022"
"444","E331-103","63376",41600,"arpa_paycheck_3","2022"
"445","P130-424","63114",16640,"arpa_paycheck_3","2022"
"446","E935-438","63137",24960,"arpa_paycheck_3","2022"
"447","P718-878","64134",33280,"arpa_paycheck_3","2022"
"448","E666-123","64130",16640,"arpa_paycheck_3","2022"
"449","E429-886","63136",4160,"arpa_paycheck_3","2022"
"450","E836-186","65807",62400,"arpa_paycheck_3","2022"
"451","E689-887","63080",29120,"arpa_paycheck_3","2022"
"452","E731-462","64138",29120,"arpa_paycheck_3","2022"
"453","P129-576","63801",4160,"arpa_paycheck_3","2022"
"454","P546-743","63135",4160,"arpa_paycheck_3","2022"
"455","E328-789","65020",16640,"arpa_paycheck_3","2022"
"456","E139-995","63136",8320,"arpa_paycheck_3","2022"
"457","E731-433","63501",4160,"arpa_paycheck_3","2022"
"458","E360-632","64133",83200,"arpa_paycheck_3","2022"
"459","E903-730","63134",16640,"arpa_paycheck_3","2022"
"460","E998-167","63031",33280,"arpa_paycheck_3","2022"
"461","E762-663","63137",45760,"arpa_paycheck_3","2022"
"462","E563-618","65708",33280,"arpa_paycheck_3","2022"
"463","E422-276","63901",62400,"arpa_paycheck_3","2022"
"464","P999-796","65708",16640,"arpa_paycheck_3","2022"
